,0
695,STEAM_0:1:181862150
696,STEAM_0:0:703418469
697,STEAM_0:0:85451432
698,STEAM_0:0:648045336
699,STEAM_0:0:601675038
700,STEAM_0:0:542596627
701,STEAM_0:0:86029971
702,STEAM_0:1:56933272
703,STEAM_0:0:422130122
704,STEAM_0:1:741847045
705,STEAM_0:1:565229314
706,STEAM_0:1:451527875
707,STEAM_0:1:433804715
708,STEAM_0:0:759607034
709,STEAM_0:0:642163911
710,STEAM_0:1:563808754
711,STEAM_0:0:763858103
712,err_10712
713,STEAM_0:1:122502590
714,STEAM_0:0:92220994
715,err_10715
716,err_10716
717,STEAM_0:0:231135925
718,STEAM_0:0:696757534
719,STEAM_0:1:567542597
720,STEAM_0:1:101077911
721,STEAM_0:0:188354050
722,STEAM_0:1:512663981
723,STEAM_0:1:637017923
724,STEAM_0:1:712378578
725,STEAM_0:1:642198672
726,STEAM_0:0:236198934
727,STEAM_0:1:506011343
728,STEAM_0:1:763829244
729,err_10729
730,STEAM_0:0:521797028
731,STEAM_0:0:237508710
732,STEAM_0:0:61972666
733,STEAM_0:0:71925111
734,STEAM_0:1:739725212
735,STEAM_0:0:611680949
736,STEAM_0:0:508582877
737,STEAM_0:1:763940433
738,STEAM_0:1:753118862
739,STEAM_0:0:489471592
740,STEAM_0:0:192931335
741,STEAM_0:0:1532141
742,STEAM_0:1:94671490
743,STEAM_0:1:648381929
744,STEAM_0:1:184879627
745,NaN_10745-time cost 5.234 s
746,STEAM_0:1:191454344
747,STEAM_0:0:2214464
748,STEAM_0:0:764066226
749,STEAM_0:0:586341350
750,STEAM_0:0:182371021
751,STEAM_0:1:681745232
752,STEAM_0:1:246308188
753,STEAM_0:0:617978570
754,STEAM_0:0:147725239
755,STEAM_0:1:242540713
756,STEAM_0:1:585338164
757,STEAM_0:0:78974439
758,STEAM_0:1:658262608
759,STEAM_0:0:112713151
760,STEAM_0:1:151810786
761,STEAM_0:0:545443852
762,STEAM_0:1:202280378
763,STEAM_0:1:612729811
764,STEAM_0:1:585390077
765,STEAM_0:1:649722459
766,STEAM_0:1:431235743
767,err_10767
768,STEAM_0:1:763658421
769,STEAM_0:1:739792023
770,STEAM_0:1:533962549
771,STEAM_0:0:765155559
772,STEAM_0:1:530804085
773,STEAM_0:1:480904435
774,STEAM_0:0:560167451
775,STEAM_0:1:532627734
776,STEAM_0:0:435875863
777,STEAM_0:0:762765640
778,STEAM_0:1:439116710
779,STEAM_0:0:180126858
780,STEAM_0:0:554392060
781,STEAM_0:1:714817951
782,STEAM_0:0:223494555
783,STEAM_0:1:166700520
784,STEAM_0:0:764020126
785,STEAM_0:0:63894320
786,STEAM_0:1:436671015
787,STEAM_0:1:442095384
788,STEAM_0:1:41917720
789,STEAM_0:0:531957680
790,STEAM_0:1:757202258
791,STEAM_0:0:635638195
792,STEAM_0:0:694744708
793,STEAM_0:1:200791687
794,STEAM_0:0:182438764
795,STEAM_0:0:763720784
796,STEAM_0:0:198223263
797,STEAM_0:0:614026807
798,STEAM_0:1:442049234
799,STEAM_0:0:639268008
800,STEAM_0:0:169382098
801,STEAM_0:0:536938808
802,STEAM_0:0:609478900
803,STEAM_0:0:200733229
804,STEAM_0:0:565238423
805,STEAM_0:0:607486464
806,STEAM_0:0:616242935
807,STEAM_0:0:42557084
808,STEAM_0:1:525390111
809,STEAM_0:0:581133207
810,STEAM_0:0:454170511
811,STEAM_0:1:765598027
812,STEAM_0:0:239914577
813,STEAM_0:1:507994692
814,STEAM_0:1:528033101
815,STEAM_0:1:563304819
816,STEAM_0:0:586613861
817,STEAM_0:1:161919738
818,STEAM_0:1:528378226
819,STEAM_0:1:440043951
820,STEAM_0:1:181087717
821,STEAM_0:1:433909159
822,STEAM_0:1:510674812
823,STEAM_0:1:55634441
824,STEAM_0:1:232403512
825,STEAM_0:1:637300490
826,STEAM_0:1:223754062
827,STEAM_0:1:86548780
828,STEAM_0:0:242522628
829,STEAM_0:1:512170315
830,STEAM_0:0:499441925
831,STEAM_0:0:507054691
832,STEAM_0:1:533181338
833,STEAM_0:0:759781470
834,STEAM_0:1:585754133
835,STEAM_0:0:627813510
836,STEAM_0:1:576320130
837,STEAM_0:0:502843493
838,STEAM_0:0:703431948
839,STEAM_0:0:197869048
840,STEAM_0:0:439922526
841,STEAM_0:1:28843045
